기준 직업,기준 직업 코드,비교 직업,비교 직업 코드,jaccard
의회의원·고위공무원 및 공공단체임원,11100,위관급 장교,250200,0.230769231
기업 고위임원,11200,무역 사무원,28100,0.1
기업 고위임원,11200,영어 강사,214106,0.111111111
기업 고위임원,11200,약사 및 한약사,303000,0.1
기업 고위임원,11200,"박물관,미술관,문화,역사,자연환경 등 각종 해설사",521303,0.125
기업 고위임원,11200,"박물관,미술관,문화,역사,자연환경 등 각종 해설사",521303,0.125
기업 고위임원,11200,주차 관리·안내원,562300,0.111111111
기업 고위임원,11200,제품·광고 영업원,612400,0.111111111
정부행정 관리자,12100,정부·공공행정 전문가,21000,0.375
정부행정 관리자,12100,회계사,23100,0.117647059
정부행정 관리자,12100,관세사,23301,0.25
정부행정 관리자,12100,조사 전문가,24200,0.142857143
정부행정 관리자,12100,관세행정 사무원,25200,0.375
정부행정 관리자,12100,경영 기획 사무원,26101,0.333333333
정부행정 관리자,12100,영업 기획·관리·지원 사무원,26103,0.333333333
정부행정 관리자,12100,총무 사무원 및 대학 행정조교,26300,0.315789474
정부행정 관리자,12100,신용 추심원(채권 관리원),32502,0.333333333
정부행정 관리자,12100,신용 추심원(채권 관리원),32502,0.333333333
정부행정 관리자,12100,중·고등학교 교사,212100,0.111111111
정부행정 관리자,12100,시민단체 활동가,231500,0.117647059
정부행정 관리자,12100,교도관 및 소년원학교 교사,240300,0.272727273
정부행정 관리자,12100,위관급 장교,250200,0.3
정부행정 관리자,12100,사진작가 및 사진사,414200,0.142857143
정부행정 관리자,12100,주차 관리·안내원,562300,0.1
경영지원 관리자,12200,정부·공공행정 전문가,21000,0.181818182
경영지원 관리자,12200,회계사,23100,0.1
경영지원 관리자,12200,관세사,23301,0.19047619
경영지원 관리자,12200,조사 전문가,24200,0.117647059
경영지원 관리자,12200,관세행정 사무원,25200,0.25
경영지원 관리자,12200,경영 기획 사무원,26101,0.25
경영지원 관리자,12200,영업 기획·관리·지원 사무원,26103,0.25
경영지원 관리자,12200,총무 사무원 및 대학 행정조교,26300,0.25
경영지원 관리자,12200,물류 사무원(물류 관리사),28308,0.125
경영지원 관리자,12200,신용 추심원(채권 관리원),32502,0.181818182
경영지원 관리자,12200,신용 추심원(채권 관리원),32502,0.181818182
경영지원 관리자,12200,위관급 장교,250200,0.272727273
경영지원 관리자,12200,사진작가 및 사진사,414200,0.133333333
마케팅·광고·홍보 관리자(부서장),12300,경영 기획 사무원,26101,0.125
마케팅·광고·홍보 관리자(부서장),12300,영업 기획·관리·지원 사무원,26103,0.125
마케팅·광고·홍보 관리자(부서장),12300,총무 사무원 및 대학 행정조교,26300,0.1
마케팅·광고·홍보 관리자(부서장),12300,제품 디자이너,415100,0.105263158
마케팅·광고·홍보 관리자(부서장),12300,오락시설 서비스원,524000,0.1
금융·보험 관리자(부서장),12400,위관급 장교,250200,0.2
연구 관리자,13100,제조·생산 관리자,16300,0.1
연구 관리자,13100,인문과학 연구원,110100,0.111111111
연구 관리자,13100,사회과학 연구원,110200,0.2
